time,symbol,type,entry,exit,qty,pnl,note
2025-09-12 00:00:00+00:00,BTCUSDT,PYRAMID_LONG,115228.698242,,0.04801198705292858,0.0,trend long|pyramid#1
2025-09-12 04:00:00+00:00,ETHUSDT,ENTRY_LONG,4527.167743,,0.6345801609800216,0.0,trend long|scale=0.90|regScale=0.70|stopPct=0.0199
2025-09-12 16:00:00+00:00,BTCUSDT,PYRAMID_LONG,116667.499753,,0.04932528706375729,0.0,trend long|pyramid#2
2025-09-12 16:00:00+00:00,ETHUSDT,PYRAMID_LONG,4658.5771540000005,,0.31046879815517975,0.0,trend long|pyramid#1
2025-09-12 20:00:00+00:00,BTCUSDT,PYRAMID_LONG,116064.22882599999,,0.05716055873942277,0.0,trend long|pyramid#3
2025-09-12 20:00:00+00:00,ETHUSDT,PYRAMID_LONG,4713.573648,,0.3160558257080485,0.0,trend long|pyramid#2
2025-09-13 00:00:00+00:00,ETHUSDT,PYRAMID_LONG,4758.237043,,0.3410098941583892,0.0,trend long|pyramid#3
2025-09-13 16:00:00+00:00,ETHUSDT,STOP_LONG,4527.167743,4628.591720071428,0.6345801609800216,64.36164369722108,
2025-09-13 16:00:00+00:00,ETHUSDT,STOP_LONG,4610.602674956048,4628.591720071428,1.9104755272029044,34.36763045068354,
2025-09-13 20:00:00+00:00,ETHUSDT,ENTRY_LONG,4667.929958999999,,0.6445268102329279,0.0,trend long|scale=0.91|regScale=0.70|stopPct=0.0199
2025-09-14 04:00:00+00:00,BTCUSDT,EXIT,114434.330003,115770.648383,0.12263986275073033,163.8859027144797,CLOSE_BY_SIGNAL
